,Age,Instability Mean,Instability Std
0,18,0.245675149,0.034124561
1,19,0.218224685,0.017177241
2,20,0.246580848,0.034938573
3,21,0.199793915,0
4,22,0.234448762,0.02594352
5,23,0.235580181,0.021260912
6,24,0.234969973,0.052079197
7,25,0.223871328,0.022802025
8,26,0.225754199,0.020399419
9,27,0.217591988,0.04625819
10,28,0.20756945,0.019272934
11,29,0.234933755,0.037224103
12,30,0.227636159,0.032059978
13,31,0.233205971,0.01943378
14,32,0.219701983,0.031960905
15,33,0.228532426,0.048596104
16,34,0.225837056,0.043591955
17,35,0.215948251,0.025821059
18,36,0.218506923,0.036377649
19,37,0.218685371,0.037998493
20,38,0.22998405,0.038361591
21,39,0.232351348,0.031452269
22,40,0.233102806,0.039929434
23,41,0.230638326,0.025613097
24,42,0.24122065,0.042526223
25,43,0.222017883,0.021170657
26,44,0.216037794,0.039372778
27,45,0.19730836,0.036748463
28,46,0.218180624,0.028429676
29,47,0.219083778,0.024754492
30,48,0.241534784,0.038319111
31,49,0.224956382,0.028104609
32,50,0.236497516,0.054384509
33,51,0.237012388,0.052641386
34,52,0.215444665,0.035332554
35,53,0.23534445,0.031443247
36,54,0.241114797,0.030748681
37,55,0.227585538,0.051126519
38,56,0.236933841,0.053174844
39,57,0.213021021,0.031433025
40,58,0.254975479,0.039968748
41,59,0.264338139,0.024158157
42,60,0.239260393,0.031854394
43,61,0.239666461,0.043125997
44,62,0.229426711,0.019930081
45,63,0.251170935,0.046398081
46,64,0.261853572,0.040142707
47,65,0.257588658,0.044597059
48,66,0.24788402,0.040811556
49,67,0.255334318,0.042942908
50,68,0.251144632,0.04148411
51,69,0.275150965,0.047687094
52,70,0.252347203,0.028089548
53,71,0.257317126,0.053157523
54,72,0.252747782,0.052823571
55,73,0.265699895,0.031133702
56,74,0.268420598,0.035241567
57,75,0.258667016,0.03271172
58,76,0.253238741,0.056958145
59,77,0.264250281,0.048541193
60,78,0.268980424,0.033560788
61,79,0.271112964,0.036697907
62,80,0.254987512,0.035372717
63,81,0.243228083,0.055772352
64,82,0.247480597,0.034658269
65,83,0.280596903,0.0386064
66,84,0.246040156,0.055588996
67,85,0.267730674,0.032483724
68,86,0.255093975,0.01114385
69,87,0.252372925,0.01487349
70,88,0.190031486,0
